Account Code,Section,Category,Subcategory,Line Item,Vendor / Source,Cost Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total,% of Revenue,Notes
8230,R&M,Equipment,Lease,Equipment Leases (Ice/Espresso/CO2),Lessor,Fixed,1238.27,1194.73,1160.43,1217.47,1233.17,1182.68,1185.35,1158.23,1204.05,1237.57,1233.73,1220.33,14466.01,0.22%,
8410,Professional,Accounting,Bookkeeping,Accounting & Bookkeeping,CPA Firm,Fixed,1551.28,1516.52,1535.24,1501.05,1454.56,1464.12,1456.67,1534.84,1443.15,1506.48,1484.27,1536.44,17984.62,0.28%,
8412,Professional,Legal,Counsel,Legal Fees,Law Firm,Semi-Variable,930.27,924.74,924.55,970.91,1061.45,1063.76,1057.54,1073.03,1021.63,947.54,1043.79,1072.40,12091.61,0.19%,
8414,Professional,Consulting,Advisory,Consulting & Advisory,Consultant,Semi-Variable,692.05,697.30,708.23,761.82,782.66,792.86,771.39,817.20,742.87,759.92,727.51,771.34,9025.15,0.14%,
8420,Professional,Licenses,Health,Health Permits & Inspections,County,Fixed,388.90,389.27,394.33,406.70,395.07,414.11,412.64,411.07,392.02,404.32,401.63,388.01,4798.07,0.07%,
8422,Professional,Licenses,Liquor,Liquor License Fees,State,Fixed,738.17,752.01,750.15,730.12,776.50,729.25,759.52,763.24,756.31,770.55,753.82,769.51,9049.15,0.14%,
8424,Professional,Licenses,Business,Business Licenses & Permits,City,Fixed,288.68,289.09,303.39,301.84,303.63,306.41,298.00,303.34,299.95,303.05,294.95,310.96,3603.29,0.06%,
8426,Professional,Dues,Industry,Dues & Subscriptions,Assoc,Fixed,199.73,204.88,202.96,196.76,193.17,192.96,199.03,199.75,195.26,201.71,197.00,203.49,2386.70,0.04%,
9010,Other,Finance,Interest,Bank Loan Interest,Chase,Fixed,3056.21,3086.59,3114.09,2911.38,2968.93,3014.80,2956.59,2991.95,2944.19,2939.50,2903.23,2949.65,35837.11,0.55%,
9012,Other,Finance,Interest,Equipment Loan Interest,Lender,Fixed,990.73,1009.23,979.86,1029.22,972.78,986.19,1006.21,985.02,1021.05,999.86,1001.18,999.90,11981.23,0.19%,
9020,Other,Depreciation,Equipment,Depreciation - Equipment,Internal,Fixed,4923.42,4809.27,5178.09,5002.18,5186.67,4886.06,4941.16,4820.22,4997.96,5152.94,5061.70,4988.23,59947.90,0.93%,
9022,Other,Depreciation,Leasehold,Depreciation - Leasehold Improvements,Internal,Fixed,4011.74,4111.10,3977.90,4122.39,4072.80,4084.43,3957.10,3968.19,4022.49,3902.29,4017.03,3863.53,48110.99,0.74%,
9024,Other,Amortization,Intangibles,Amortization,Internal,Fixed,750.26,765.86,736.78,779.35,760.82,727.13,778.50,743.63,767.69,740.35,776.34,765.30,9092.01,0.14%,
9030,Other,Admin,Travel,Travel & Lodging,Various,Semi-Variable,678.11,687.90,717.15,712.56,743.27,773.62,789.87,785.10,753.25,736.66,743.96,802.44,8923.89,0.14%,
9032,Other,Admin,Meals,Owner / Biz Dev Meals,Various,Semi-Variable,450.72,476.25,487.25,485.06,503.65,536.46,529.05,533.98,489.96,502.89,497.60,537.54,6030.41,0.09%,
9034,Other,Admin,Charity,Charitable Contributions,Various,Semi-Variable,481.01,461.33,489.45,501.86,518.01,502.93,526.61,544.83,509.20,501.33,506.02,539.56,6082.14,0.09%,
9040,Other,Risk,Cash,Cash Over/Short,Internal,Variable,257.58,243.33,276.54,294.36,320.92,318.05,338.04,317.87,308.19,279.59,291.79,331.19,3577.45,0.06%,
9042,Other,Risk,Bad Debt,Bad Debt Expense,Internal,Variable,331.64,338.30,362.34,397.31,430.54,449.38,452.68,424.91,385.21,375.78,398.96,454.08,4801.13,0.07%,
9044,Other,Risk,Shrink,Inventory Shrinkage / Theft Allowance,Internal,Variable,854.63,820.65,888.54,1003.94,1028.19,1078.19,1134.91,1120.28,1003.11,976.86,1020.48,1093.07,12022.85,0.19%,
9090,Other,Misc,Contingency,Miscellaneous / Contingency,Various,Semi-Variable,1361.49,1381.18,1402.73,1534.88,1506.20,1541.71,1545.99,1601.46,1471.94,1453.69,1561.02,1628.08,17990.37,0.28%,
